id,mst,ten_nnt,dia_chi,cqt
37,3200706750,"Công Ty Cổ Phần Điện Gió Hướng Linh 7","Thôn Mã Lai, Xã Hướng Phùng, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
38,3200707659,"Công Ty Cổ Phần Energy Kiều Thi Quảng Trị","Số 38 đường Hoa Ngọc Lan, Thị trấn Quang Minh, Huyện Mê Linh,",Cục Thuế tỉnh Quảng Trị
39,3200707761,"Công Ty Cổ Phần Thủy Điện Đakrông Đồng Văn","Thôn Xa Lăng, Xã Đa Krông, Huyện Đa Krông, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
40,3200708003,"Công Ty TNHH Long Hoàng Thiên","Số 54/12 Nguyễn Trãi, Phường 1, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
41,3200708814,"Công Ty Cổ Phần Lig - Hướng Hóa 1","Số 37, đường Lý Thường Kiệt, Phường Đông Lương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
42,3200708765,"Công Ty Cổ Phần Lig - Hướng Hóa 2","Số 37 đường Lý Thường Kiệt, Phường Đông Lương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
43,3200708860,"Công Ty TNHH MTV Mặt Trời Đỏ","Số 6A đường Võ Thị Sáu, Phường 1, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
44,3200708878,"Công Ty TNHH MTV Sunny Quảng Trị","Số 10 đường Võ Thị Sáu, Phường 1, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
45,3200709864,"Công Ty Cổ Phần Năng Lượng Phương Nam","Số 38 đường Đoàn Hữu Trưng, Phường Đông Lương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
46,3200710027,"Công Ty Cổ Phần Điện Gió Thành An","Thôn Hà Thanh, Xã Gio Châu, Huyện Gio Linh, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
47,3200710108,"Công Ty Cổ Phần Quỹ Đầu Tư Israel","Số 05 Nguyễn Công Trứ, Phường 5, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
48,3200710355,"Công Ty TNHH MTV Điện Mặt Trời Quảng Trị","Thôn Nhĩ Hạ, Xã Gio Hải, Huyện Gio Linh, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
49,3200710411,"Công Ty Cổ Phần Điện Gió Hướng Hiệp - Thc","Số 08, đường Thân Nhân Trung, Phường Đông Lương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
50,3200710228,"Công Ty Cổ Phần Điện Gió Khe Sanh","Số 343, quốc lộ 9, Phường 3, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
51,3200710972,"Công Ty TNHH Vĩnh Đại Quảng Trị","Số 10/139 Nguyễn Bỉnh Khiêm, Phường 1, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
52,3200711013,"Công Ty TNHH An Thái Quảng Trị","Số 212 đường Lý Thường Kiệt, Khu phố 7, Phường 5, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
53,3200711165,"Công Ty Cổ Phần Phong Điện Hải Anh - Quảng Trị","Khu Đồi Chua, Khóm Ka Túp, Thị trấn Lao Bảo, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
54,3200711447,"Công Ty TNHH Năng Lượng Xanh Trường Phú","Số 02 Lê Thế Tiết, Khu phố 3, Phường 2, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
55,3200711503,"Công Ty TNHH Đầu Tư Năng Lượng Rồng Việt","Số 11A đường Nguyễn Quang Xá, Phường Đông Lương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
56,3200711768,"Công Ty Cổ Phần Năng Lượng Trường Danh","Thôn Hà Thanh, Xã Gio Châu, Huyện Gio Linh, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
57,3200711937,"Công Ty TNHH Năng Lượng Tái Tạo Win - Solar","156 Hàm Nghi, Phường 5, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
58,3200712218,"Công Ty TNHH Thôn Động Sỏi","05 Nguyễn Công Trứ, Phường 5, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
59,3200712225,"Công Ty TNHH Khu Phố Cát","05 Nguyễn Công Trứ, Phường 5, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
60,3200712930,"Công Ty TNHH New Energy Rồng Việt","Số 15/17 đường Nguyễn Thị Lý, Thị trấn Diên Sanh, Huyện Hải Lăng, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
61,3200712962,"Công Ty TNHH MTV Hồng Quân Solar","291 Quốc lộ 9, Phường 3, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
62,0316510374,"Công Ty Cổ Phần Đầu Tư Năng Lượng Vĩnh Linh","Khu phố 3, Phường Đông Lương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
63,1101952568-001,"Hệ Thống Điện Mặt Trời Mái Nhà QT 04","Cụm công nghiệp Kiến Thành, Xã Long Cang, Huyện Cần Đước,",Cục Thuế tỉnh Quảng Trị
64,3200713596,"Công Ty Cổ Phần Năng Lượng Xanh Đakrông","Thôn Xa Lăng, Xã Đa Krông, Huyện Đa Krông, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
65,3200714617,"Công Ty TNHH  Bảo Nhi Phú Hưng","Thôn Phú Hưng, Xã Hải Phú, Huyện Hải Lăng, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
66,3200718315,"Công Ty TNHH Phát Triển Năng Lượng Và Nông Nghiệp Công Nghệ Cao Quảng Trị","Số 3, đường Đội Cấn, Phường Đông Lương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
67,3200683126,"Công Ty Cổ Phần Sơn Hải Thủy Điện Quảng Trị","Thôn Ta Liêng, Xã Đa Krông, Huyện Đa Krông, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
68,3200708130,"Công Ty Cổ Phần Điện Gió Tân Linh","Thôn Của, Xã Hướng Tân, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
69,3200708148,"Công Ty Cổ Phần Điện Gió Hướng Tân","Thôn Của, Xã Hướng Tân, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
70,3200711510,"Công Ty Cổ Phần Điện Gió Phong Huy","Số 56 Lê Duẩn, Thị trấn Khe Sanh, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
71,3200711694,"Công Ty Cổ Phần Điện Gió Liên Lập","Thôn Của, Xã Hướng Tân, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
72,3200711704,"Công Ty Cổ Phần Điện Gió Phong Nguyên","Số 1, Ngõ 23, Đường Hùng Vương, Thị trấn Khe Sanh, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
73,3200714511,"Thầu Dự ÁN nhà Máy Điện Gió Hướng Linh 3 Tại Quảng Trị","Thôn Cooc, Xã Hướng Linh, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
74,3200714790,"Chunjo Corporation Co., Ltd.","Tiểu khu 693 RPH, Xã Tân Thành, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
75,3200714624,"Chunjo Corporation Co., Ltd.","Tiểu khu 692 RPH, Xã Tân Thành, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
76,3200718594,"Công Ty TNHH Năng Lượng Xanh Lộc Phát Quảng Trị","Số nhà 43/2 Nguyễn Trãi, Khu phố 8, Phường 1, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
77,3200718731,"Công Ty CP Tư Vấn Xây Dựng Và Năng Lượng Hoàng Bá","Thôn Trà Trì Phú, Xã Hải Hưng, Huyện Hải Lăng, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
78,3200711091,"Công Ty TNHH Thành Cổ Quảng Trị","Thôn Động Sỏi, Xã Kim Thạch, Huyện Vĩnh Linh, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
79,3200193178,"Công Ty Cổ Phần Thiên Tân","Khu phố 7, Phường 3, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
80,3200133838,"Công Ty TNHH Chaichareon Việt - Thái","Số 22 Lê Hồng Phong, Khóm Tây Chín, Thị trấn Lao Bảo, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
81,3200264157,"Công Ty Cổ Phần Bia Hà Nội-quảng Trị","Đường RD6 - Khu Công nghiệp Quán Ngang, Xã Gio Quang, Huyện Gio Linh, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
82,3200193178-002,"Chi Nhánh Xí Nghiệp Xây Dựng Công Trình - Công Ty Cổ Phần Thiên Tân","Cụm Công Nghiệp Cam Hiếu, Xã Cam Hiếu, Huyện Cam Lộ, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
83,3200193178-001,"Chi Nhánh Xí Nghiệp Sản Xuất Vật Liệu Xây Dựng - Công Ty Cổ Phần Thiên Tân","Số 124 đường Lê Duẩn, Phường 1, Thị xã Quảng Trị, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
84,1800590430-003,"Công Ty Thủy Điện Quảng Trị - Chi nhánh Tổng Công Ty Phát Điện 2 - Công Ty TNHH MTV","Khu phố 8, Phường 5, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
85,3200193178-004,"Chi Nhánh Xí Nghiệp Khai Thác Đá Tân Lâm - Công Ty Cổ Phần Thiên Tân","Khu phố 7, Phường 3, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
86,3200193178-005,"Chi Nhánh Công Ty Cổ Phần Thiên Tân - Xí Nghiệp Chế Biến Đá Xây Dựng","Khu phố 7, Phường 3, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
87,3200590859,"Công Ty Cổ Phần Bia Hà Nội - Quảng Trị","Số 158 Nguyễn Trãi, Phường 1, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
88,3200042517,"Công Ty Cổ Phần Xuất Nhập Khẩu Quảng Trị","18 Lê Lợi, Phường 5, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
89,3200041739,"Công Ty Cổ Phần Du Lịch Mê Kông","Số 66 đường Lê Duẩn, Phường 1, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
90,3200144029,"CÔng Ty Cổ Phần Dịch Vụ Vận Tải ô Tô Quảng Trị","Số 49 đường Lý Thường Kiệt, Phường Đông Lương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
91,3200152132,"Công Ty Cổ Phần Du Lịch Quảng Trị","Số 68 Trần Hưng Đạo, Phường 1, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
92,3200133771,"Công Ty Cổ Phần Bắc Trung Bộ","Km 4, tỉnh lộ 571 Cụm công nghiệp làng nghề Bắc Hồ Xá, Xã Vĩnh Long, Huyện Vĩnh Linh, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
93,3200139205,"Công Ty Cổ Phần Đầu Tư Và Dịch Vụ Thương Mại Du Lịch Cửa Tùng","Khu phố Hòa Lý, Thị trấn Cửa Tùng, Huyện Vĩnh Linh, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
94,3200179127,"Công Ty Cổ Phần Vật Tư Kỹ Thuật Nông Nghiệp Tỉnh Quảng Trị","Số 262 Lê Duẩn, Phường Đông Lễ, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
95,3200193139,"Công Ty Cổ Phần Đầu Tư Và Phát Triển Cơ Sở Hạ Tầng Quảng Trị","Số 53 Lê Lợi, Phường 5, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
96,3200193146,"Công Ty Cổ Phần Nông Sản Tân Lâm","Km 20, Quốc lộ 9, Xã Cam Thành, Huyện Cam Lộ, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
97,3200040982,"Công Ty Cổ Phần Minh Hưng Quảng Trị","Km 8, Quốc lộ 9, Phường 4, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
98,3200135169,"Công Ty Cổ Phần Sách Và Thiết Bị Trường Học Quảng Trị","Số 51 Lê Lợi, Phường 5, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
