ID,MST,Ten_NNT,Dia_chi,CQT
2318,3200287429,Công ty Cổ phần Thương mại và Dịch vụ Vận tải Nguyên Minh,"Thôn An Tiêm, xã Triệu thành,, huyện Triệu Phong, tỉnh Quảng Trị",Đội Thuế liên huyện Triệu Hải
2319,3200728232,Công ty Trách nhiệm hữu hạn Hằng Mi,"Số 09 Trần Phú, thị trấn Lao Bảo, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
2320,3200560780,Công ty Trách nhiệm hữu hạn Một thành viên Xây dựng Hải Ba,"Khóm 7, thị trấn Diên Sanh, huyện Hải Lăng, tỉnh Quảng Trị",Đội Thuế liên huyện Triệu Hải
2321,3200271436,Công ty Trách nhiệm hữu hạn Một thành viên Đức Thuận,"Khóm Lao động, thị trấn Hồ Xá, huyện Vĩnh Linh, tỉnh Quảng Trị",Đội Thuế liên huyện Vĩnh Linh - Gio Linh
2322,3200570034,Công ty Trách nhiệm hữu hạn Một thành viên Hào Lan,"Khóm 4, thị trấn Khe Sanh, huyện Hướng Hoá, tỉnh Quảng Trị",Đội Thuế liên huyện Hướng Hóa - Đakrông
2323,3200643130,Công ty Trách nhiệm hữu hạn QT Thảo Bình,"Thôn Lan Đình, xã Phong Bình, huyện Gio Linh, tỉnh Quảng Trị",Đội Thuế liên huyện Vĩnh Linh - Gio Linh
2324,3200540336,Công ty Trách nhiệm hữu hạn Một thành viên Minh Quân Max,"Khóm 2, thị trấn Krông Klang, huyện Đa Krông, tỉnh Quảng Trị",Đội Thuế liên huyện Hướng Hóa - Đakrông
2325,3200689223,Công ty TNHH Hoàng Phong Quảng Trị,"Số nhà 10/74 đường 2/4, khu phố 4, thị trấn Cam Lộ, huyện Cam Lộ, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2326,3200706380,Công ty Cổ phần Thương mại và Dịch vụ Tổng hợp Thủy Ba,"Số nhà 180 đường Lê Duẩn, thị trấn Hồ Xá, huyện Vĩnh Linh, tỉnh Quảng Trị",Đội Thuế liên huyện Vĩnh Linh - Gio Linh
2327,3200260018,Công ty Cổ phần SQ Quảng Trị,"195 Hùng Vương, phường Đông Lễ, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2328,3200474884,Công ty Cổ phần Đam San,"Khu phố 11. Phường 5, Thành phố Đông Hà, phường 1, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2329,3200262745,Công ty Trách nhiệm hữu hạn Một thành viên Đức Nhân Lao Bảo,"Km 83 Quốc lộ 9, Khóm Ka Tăng, thị trấn Lao Bảo, huyện Hướng Hoá, tỉnh Quảng Trị",Đội Thuế liên huyện Hướng Hóa - Đakrông
2330,3200628291,Công ty Cổ phần Vật Liệu và Xây dựng Hướng Hóa,"Thôn Nại Cửu, xã Tân Thành, huyện Hướng Hoá, tỉnh Quảng Trị",Đội Thuế liên huyện Hướng Hóa - Đakrông
2331,3200729028,Công ty TNHH Một thành viên Đại Việt LB,"Khóm Tây Chín, thị trấn Lao Bảo, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
